feature,importance
close,0.4434347677203203
open,0.2087123702829145
low,0.16922395362612935
high,0.12851243456404962
ma_5,0.022585707296834172
close_lag_1,0.002362103521959956
macd_hist,0.0016741681425097858
return_1,0.0013030097857575182
return_lag_4,0.0012693605258413815
high_low_spread,0.0012432056843959085
volume_mean_10,0.0010446186139792387
vol_lag_5,0.0009285097467213143
volatility_20,0.0008285329077493606
return_lag_3,0.0008090351125975299
close_lag_2,0.0008041921896810037
bb_width_20,0.0007944799115680987
return_lag_2,0.0007879582768420505
volume_mean_20,0.0007869417485180396
return_lag_5,0.0007811455622620272
vol_lag_1,0.0007723130722717908
vol_lag_2,0.0007494117041897949
vol_lag_4,0.0007391864455919063
volatility_5,0.0006676685648787149
volatility_10,0.0006622888222296914
vol_lag_3,0.0006536785349903195
return_lag_1,0.000648119618676479
macd,0.0005981755009581664
volume_mean_5,0.0005906187782436128
open_close_spread,0.0005151106009972668
bb_upper_20,0.0005149502854676926
intraday_return,0.0004964986277724917
rsi_14,0.0004922846830864621
close_lag_3,0.0004668250600104355
pre_close,0.0004645089911262168
macd_signal,0.00046204302716790696
bb_lower_20,0.00040225256113045056
close_lag_5,0.00037124025160028385
amount,0.00032802777060628424
ma_10,0.0003166487177857453
close_lag_4,0.000315778380246632
vol,0.0003099833845299797
bb_mid_20,0.0002940007095496642
ma_20,0.00028189068626095944
