feature,importance
close,0.44992838038279703
low,0.19945896631237964
high,0.09050641781161888
pre_close,0.07593085824419696
open,0.05223247673253333
close_lag_2,0.04065866478442388
macd_hist,0.035993472063834304
close_lag_1,0.022953020872692596
ma_5,0.0049120054045997345
volatility_20,0.0038932299461276994
volatility_10,0.003359817612586786
rsi_14,0.0027893271750699705
volume_mean_20,0.0016594167807225813
ma_10,0.001406354533530062
ma_20,0.0013726088433482142
bb_mid_20,0.0012353747525269386
close_lag_3,0.0012325423911735323
bb_upper_20,0.0009278642264697067
vol_lag_2,0.0007543005161785855
volatility_5,0.0007175911709634084
volume_mean_5,0.0007013365844982323
close_lag_5,0.0006046153458561476
close_lag_4,0.0005859919222583859
macd_signal,0.0005819858069401022
bb_lower_20,0.0005092200664782255
bb_width_20,0.0005091449483032959
return_lag_1,0.0004766862732339031
vol_lag_1,0.0003992563548015136
high_low_spread,0.0003364813205337163
return_lag_3,0.00032346354942385116
return_lag_4,0.0003160727975419372
return_lag_2,0.00030689641998545215
return_1,0.0002982339744232155
macd,0.0002797950960147665
return_lag_5,0.00025350829411994763
volume_mean_10,0.0002492137652831635
vol_lag_4,0.00022277931635683004
intraday_return,0.00021310349016123858
vol_lag_3,0.000197284651268285
vol,0.00019140095138110697
vol_lag_5,0.0001865898471304256
open_close_spread,0.00018036234108912926
amount,0.00015388632514301223
